م,نقطة البداية,الوجهة,نوع وسيلة المواصلات,اسم وسيلة المواصلات,الأجرة (ج.م),المدة الزمنية,مراحل وخطوات المسار,كلمات بديلة للبداية,كلمات بديلة للوجهة,نصيحة ذهبية للمسافرين,رابط خريطة Google
1,العاشر من رمضان,جامعة القاهرة,ميكروباص,وسيلة 1: بالميكروباص (موقف رمسيس ثم مترو),40,ساعة و 40 دقيقة,المرحلة الأولى: ميكروباص من الأردنية إلى رمسيس (30 ج.م - 70 دقيقة) [اركب من موقف الأردنية بالعاشر / انزل موقف رمسيس محطة مصر] | المرحلة الثانية: مترو الخط الثاني إلى جامعة القاهرة (10 ج.م - 20 دقيقة) [ادخل محطة مترو الشهداء اتجاه المنيب / انزل محطة جامعة القاهرة واخرج للبوابة الرئيسية],العاشر، العاشر من رمضان، الاردنية، 10th of Ramadan,جامعة القاهرة، جامعة القاهره، كلية الهندسة جامعة القاهرة، بين السرايات، الجيزة، CU، Cairo University,أسرع وسيلة شعبية ومباشرة لميدان رمسيس ومترو الأنفاق.,https://maps.google.com/?q=Cairo+University
2,العاشر من رمضان,جامعة القاهرة,مترو,وسيلة 2: بالمترو والقطار الكهربائي LRT (مكيف ومريح),35,ساعة و 25 دقيقة,المرحلة الأولى: القطار الكهربائي LRT من العاشر لعدلي منصور (15 ج.م - 35 دقيقة) [اركب من محطة مدينة المعرفة بالعاشر / انزل بمحطة عدلي منصور المركزية] | المرحلة الثانية: مترو الخط الثالث الأخضر مباشرة لجامعة القاهرة (15 ج.م - 35 دقيقة) [اركب الخط الثالث اتجاه جامعة القاهرة / انزل بمحطة مترو جامعة القاهرة مباشرة بدون أي تحويلات],العاشر، العاشر من رمضان، الاردنية، 10th of Ramadan,جامعة القاهرة، جامعة القاهره، كلية الهندسة جامعة القاهرة، بين السرايات، الجيزة، CU، Cairo University,الخط الثالث الأخضر يصل حالياً مباشرة لمحطة جامعة القاهرة التبادلية بدون أي زحام مروري.,https://maps.google.com/?q=Cairo+University
3,العاشر من رمضان,جامعة القاهرة,أتوبيس,وسيلة 3: بالأتوبيس (سوبر جيت / أتوبيس الجيزة المباشر),45,ساعة و 45 دقيقة,المرحلة الأولى: أتوبيس مباشر من الموقف الجديد لميدان الجيزة (35 ج.م - 80 دقيقة) [اركب أتوبيس العاشر - الجيزة المباشر / انزل بميدان الجيزة] | المرحلة الثانية: سرفيس دقيقتين أو مشي للجامعة (5 ج.م - 10 دقائق) [امشِ 5 دقائق أو اركب سرفيس بين السرايات لبوابة الجامعة الرئيسية],العاشر، العاشر من رمضان، الاردنية، 10th of Ramadan,جامعة القاهرة، جامعة القاهره، كلية الهندسة جامعة القاهرة، بين السرايات، الجيزة، CU، Cairo University,مناسب جداً للجلوس براحة ومعه حقائب ثقيلة بدون تبديل مواصلات متكرر.,https://maps.google.com/?q=Cairo+University
4,العاشر من رمضان,جامعة عين شمس,ميكروباص,وسيلة 1: بالميكروباص (موقف السلام والعباسية),35,ساعة و 10 دقائق,المرحلة الأولى: ميكروباص من الأردنية لموقف السلام (25 ج.م - 45 دقيقة) [اركب من موقف الأردنية / انزل موقف السلام الجديد] | المرحلة الثانية: ميكروباص العباسية وميدان عبده باشا (10 ج.م - 25 دقيقة) [اركب خط العباسية / انزل أمام قصر الزعفران وجامعة عين شمس],العاشر، العاشر من رمضان، موقف العاشر، الاردنية,جامعة عين شمس، عين شمس، العباسية، قصر الزعفران، كلية التجارة عين شمس، ASU,الوسيلة الشعبية الأكثر وفرة على مدار اليوم.,https://maps.google.com/?q=Ain+Shams+University
5,العاشر من رمضان,جامعة عين شمس,مترو,وسيلة 2: بالمترو والـ LRT (عدلي منصور للعباسية),30,55 دقيقة,المرحلة الأولى: ميكروباص أو LRT لعدلي منصور (15 ج.م - 30 دقيقة) [اركب لعدلي منصور] | المرحلة الثانية: مترو الخط الثالث لمحطة العباسية (10 ج.م - 20 دقيقة) [اركب القطار الأخضر / انزل بمحطة العباسية واخرج للبوابات],العاشر، العاشر من رمضان، موقف العاشر، الاردنية,جامعة عين شمس، عين شمس، العباسية، قصر الزعفران، كلية التجارة عين شمس، ASU,أسرع وسيلة وتتجنب زحام كوبري السويس وجسر السويس وصلاح سالم تماماً.,https://maps.google.com/?q=Ain+Shams+University
6,العاشر من رمضان,جامعة عين شمس,أتوبيس,وسيلة 3: بالأتوبيس (أتوبيس النقل العام من السلام للعباسية),25,ساعة و 20 دقيقة,المرحلة الأولى: ميكروباص للسلام (20 ج.م - 40 دقيقة) [اركب للسلام] | المرحلة الثانية: أتوبيس هيئة النقل العام للعباسية (5 ج.م - 35 دقيقة) [اركب أتوبيس العباسية / انزل أمام كلية الهندسة وقصر الزعفران],العاشر، العاشر من رمضان، موقف العاشر، الاردنية,جامعة عين شمس، عين شمس، العباسية، قصر الزعفران، كلية التجارة عين شمس، ASU,الخيار الأكثر اقتصادياً وتوفيراً للمصروفات اليومية.,https://maps.google.com/?q=Ain+Shams+University
7,العاشر من رمضان,الجامعة الأمريكية بالقاهرة (AUC),ميكروباص,وسيلة 1: بالميكروباص (السلام وسرفيس التسعين),45,ساعة و 20 دقيقة,المرحلة الأولى: ميكروباص من العاشر للسلام (25 ج.م - 45 دقيقة) [اركب من الأردنية / انزل السلام] | المرحلة الثانية: ميكروباص التجمع الخامس التسعين الجنوبي (20 ج.م - 35 دقيقة) [اركب ميكروباص الجامعة الأمريكية / انزل أمام Gate 4 وبوينت 90],العاشر من رمضان، الاردنية، العاشر,الجامعة الأمريكية، AUC، الجامعه الامريكيه بالتجمع، التجمع الخامس، American University in Cairo,الميكروباص متوفر بكثرة في موقف السلام عند مطلع الدائري.,https://maps.google.com/?q=The+American+University+in+Cairo
8,العاشر من رمضان,الجامعة الأمريكية بالقاهرة (AUC),أتوبيس,وسيلة 2: بالأتوبيس (مواصلات مصر المكيف M5/M6),40,ساعة و 20 دقيقة,المرحلة الأولى: ميكروباص لموقف السلام (20 ج.م - 40 دقيقة) [اركب للسلام] | المرحلة الثانية: باص مواصلات مصر M5 للتجمع (20 ج.م - 40 دقيقة) [اركب الأتوبيس المكيف المباشر للتسعين / انزل أمام بوابة الجامعة الأمريكية],العاشر من رمضان، الاردنية، العاشر,الجامعة الأمريكية، AUC، الجامعه الامريكيه بالتجمع، التجمع الخامس، American University in Cairo,أتوبيسات مواصلات مصر مكيفة ومزودة بـ Wi-Fi وشواحن هواتف.,https://maps.google.com/?q=The+American+University+in+Cairo
9,العاشر من رمضان,الجامعة الأمريكية بالقاهرة (AUC),سيارة,وسيلة 3: بالسيارة / أوبر عبر الطريق الدائري الأوسطي,160,40 دقيقة,اركب تاكسي أو أوبر أو سيارة خاصة من العاشر عبر طريق الإسماعيلية والدائري الأوسطي (160 ج.م - 40 دقيقة); ادخل مباشرة لمحور محمد بن زايد أو التسعين الجنوبي; الوصول أمام بوابة AUC الرئيسية,العاشر من رمضان، الاردنية، العاشر,الجامعة الأمريكية، AUC، الجامعه الامريكيه بالتجمع، التجمع الخامس، American University in Cairo,الدائري الأوسطي يختصر المسافة تماماً ويتفادى أي زحام داخل القاهرة.,https://maps.google.com/?q=The+American+University+in+Cairo
10,العاشر من رمضان,جامعة مصر للعلوم والتكنولوجيا (MUST - 6 أكتوبر),ميكروباص,وسيلة 1: بالميكروباص (رمسيس ثم أكتوبر المحور),55,ساعة و 50 دقيقة,المرحلة الأولى: ميكروباص من الأردنية لرمسيس (30 ج.م - 60 دقيقة) [اركب من الأردنية / انزل رمسيس] | المرحلة الثانية: ميكروباص 6 أكتوبر المحور المركزي (25 ج.م - 50 دقيقة) [اركب من رمسيس خط الحصري والمحور / انزل أمام بوابة جامعة MUST ومستشفى سعاد كفافي],العاشر، العاشر من رمضان، الاردنية,جامعة مصر للعلوم والتكنولوجيا، MUST، جامعة ماست، 6 اكتوبر، Misr University for Science and Technology,يوجد خط ميكروباص مباشر من موقف الأردنية إلى 6 أكتوبر الحصري في أوقات الذروة الصباحية.,https://maps.google.com/?q=Misr+University+for+Science+and+Technology
